GSSCode,name,year,dwellingsPerHectaire
E09000020,Hackney,2013,224
E09000020,Hackney,2013,201
E09000020,Hackney,2013,224
E09000020,Hackney,2013,224
E09000020,Hackney,2013,159
E09000020,Hackney,2013,159
E09000020,Hackney,2013,159
E09000033,Hackney,2013,159
E09000020,Hackney,2013,161
E09000020,Hackney,2013,159
E09000020,Hackney,2013,159
E09000020,Hackney,2013,161
E09000020,Hackney,2013,233
E09000020,Hackney,2013,201
E09000020,Islington,2013,233
E09000033,Hackney,2013,233
E09000020,Hackney,2013,233
E09000020,Hackney,2013,233
E09000020,Hackney,2013,233
E09000020,Hackney,2013,213
E09000020,Hackney,2013,233
E09000020,Hackney,2013,213
E09000020,Hackney,2013,233
E09000020,Hackney,2013,213
E09000020,Hackney,2013,213
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,213
E09000013,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,213
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,176
E09000020,Tower Hamlets,2013,176
E09000020,Tower Hamlets,2013,151
E09000020,Tower Hamlets,2013,176
E09000020,Tower Hamlets,2013,176
E09000013,Tower Hamlets,2013,176
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,190
E09000020,Tower Hamlets,2013,190
E09000020,Tower Hamlets,2013,190
E09000020,Tower Hamlets,2013,190
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,190
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000033,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000013,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,224
E09000033,Tower Hamlets,2013,201
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Tower Hamlets,2013,159
E09000020,Tower Hamlets,2013,159
E09000020,Tower Hamlets,2013,159
E09000020,Tower Hamlets,2013,159
E09000020,Tower Hamlets,2013,161
E09000020,Tower Hamlets,2013,161
E09000020,Tower Hamlets,2013,161
E09000020,Tower Hamlets,2013,161
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,161
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Hackney,2013,233
E09000020,Tower Hamlets,2013,159
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000013,Tower Hamlets,2013,213
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,213
E09000020,Tower Hamlets,2013,213
E09000020,Tower Hamlets,2013,213
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,233
E09000020,Tower Hamlets,2013,213
E09000020,Tower Hamlets,2013,213
E09000020,Hackney,2013,213
E09000020,Tower Hamlets,2013,173
E09000020,Tower Hamlets,2013,173
E09000020,Waltham Forest,2013,180
E09000020,Waltham Forest,2013,151
E09000020,Waltham Forest,2013,151
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,176
E09000033,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,190
E09000020,Waltham Forest,2013,190
E09000020,Waltham Forest,2013,190
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,190
E09000033,Waltham Forest,2013,190
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,176
E09000020,Waltham Forest,2013,173
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,224
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,201
E09000020,Waltham Forest,2013,224
E09000033,Waltham Forest,2013,224
E09000013,Waltham Forest,2013,224
E09000020,Waltham Forest,2013,224
E09000020,Waltham Forest,2013,161
E09000020,Waltham Forest,2013,161
E09000013,Waltham Forest,2013,161
E09000020,Waltham Forest,2013,161
E09000013,Waltham Forest,2013,161
E09000020,Waltham Forest,2013,233
E09000020,Waltham Forest,2013,233
E09000020,Waltham Forest,2013,233
E09000020,Waltham Forest,2013,233
E09000020,Waltham Forest,2013,161
E09000001,Waltham Forest,2013,233
E09000001,Waltham Forest,2013,233
E09000001,Waltham Forest,2013,213
E09000001,Waltham Forest,2013,173
E09000001,Waltham Forest,2013,173
E09000001,Waltham Forest,2013,173
E09000001,Waltham Forest,2013,173
E09000001,Waltham Forest,2013,173
E09000001,Redbridge,2013,151
E09000001,Redbridge,2013,151
E09000001,Barking and Dagenham,2013,151
E09000001,Redbridge,2013,176
E09000001,Redbridge,2013,176
E09000001,Redbridge,2013,176
E09000001,Redbridge,2013,151
E09000001,Redbridge,2013,176
